[00:00:04–00:00:08] 喂嗨大家晚安大家有聽到聲音嗎
[00:00:14–00:00:16] ok好感謝
[00:00:17–00:00:19] 好看起來哇今天
[00:00:20–00:00:24] 好謝謝大家禮拜五的晚上一起來繼續上課
[00:00:24–00:00:27] 好那我們就開始吧今天的課程會
[00:00:28–00:00:30] 先等我一下齁我要測試一下
[00:00:30–00:00:31] 工具
[00:00:32–00:00:32] 好
[00:00:38–00:00:39] 好
[00:00:39–00:00:41] 那主播我們呈現你
[00:00:42–00:00:45] 好ok那今天的課程會
[00:00:45–00:00:49] 呃講述這個比較多東西齁所以
[00:00:49–00:00:51] 那個等一下
[00:00:52–00:00:54] 就請大家可能如果太快的話在
[00:00:54–00:00:59] 呃如果你有影片的人你就自行複習喔那獎益已經放上去了
[00:00:59–00:01:00] 很幫手剛剛幫我放上去了所以
[00:01:01–00:01:04] 那個你按一下重新整理應該就會拿到獎益齁
[00:01:04–00:01:07] 就是如果你是訂閱制的夥伴應該會拿到獎益
[00:01:07–00:01:09] 那如果今天動作比較快的話
[00:01:09–00:01:12] 呃就請大家做單帶齁好來吧
[00:01:12–00:01:16] 好那個2026年過得很快齁上半年一下子就過了
[00:01:16–00:01:19] 呃中間從1月2月3月4月
[00:01:19–00:01:22] 持續有這些新的功能啊新的工具啊
[00:01:22–00:01:24] 好啦進來開始做相關的
[00:01:25–00:01:26] 呃這個
[00:01:27–00:01:28] 坦聲或者是
[00:01:28–00:01:29] 推陳出新齁所以
[00:01:31–00:01:33] 我們今天大概會有幾個主題啊齁大概會
[00:01:33–00:01:36] 呃很快的透過一個小時的時間讓大家稍微
[00:01:36–00:01:39] 抓抓容一下齁比如說從
[00:01:40–00:01:44] 我們所謂在談文字所謂在談生徒所謂在談
[00:01:44–00:01:46] Agent甚至自動化的一些
[00:01:46–00:01:50] 呃簡單的功能齁呃我先講齁我不會講的太深
[00:01:50–00:01:51] 因為畢竟我只有一個小時然後
[00:01:52–00:01:53] 我會用比較
[00:01:53–00:01:55] 呃經常去
[00:01:55–00:01:58] 被受邀去被要求要講的題目來講齁
[00:01:58–00:02:00] 就是大概是這個總結啦
[00:02:00–00:02:02] 就讓大家順便也回顧一下
[00:02:03–00:02:06] 過去這半年來你有什麼新的技術可能沒跟上的
[00:02:06–00:02:07] 或者是你可能正在用
[00:02:07–00:02:10] 那可能用法不太一樣或者是調整的
[00:02:10–00:02:12] 那因為隨著這個Agent出來
[00:02:12–00:02:15] 下半年的東西會變得更多變得更快
[00:02:15–00:02:15] 所以
[00:02:16–00:02:19] 呃順便把上半年的稍微技術了解一下
[00:02:19–00:02:20] 那我今天不會講太多Agent了
[00:02:20–00:02:23] 因為第一個齁Agent要花一點時間讓他跑
[00:02:23–00:02:24] 可能時間沒那麼多
[00:02:24–00:02:26] 好如果有大家會讓他跑啦
[00:02:26–00:02:26] ok
[00:02:27–00:02:29] 好那我們就從這邊開始
[00:02:29–00:02:31] 呃一樣如果有任何問題
[00:02:31–00:02:34] 就請大家可以在即時通訊的地方留言
[00:02:34–00:02:35] 我看得到
[00:02:35–00:02:37] 好好來
[00:02:37–00:02:39] 呃今天的主題很大
[00:02:39–00:02:42] 叫做上半年一定要會的ai技能
[00:02:42–00:02:45] 看起來非常非常的大的主題
[00:02:45–00:02:47] 那其實如果您有持續
[00:02:47–00:02:49] 追著我們這ep 40
[00:02:49–00:02:53] 呃應該從25到44這20幾天
[00:02:53–00:02:55] 應該多多少少都有些新的東西啦
[00:02:55–00:02:57] 好然後我們就開始吧
[00:02:58–00:03:00] 第一個我們先從文字來談談吧
[00:03:00–00:03:03] 呃這個已經變成一個非常非常大的選學了
[00:03:03–00:03:06] 好就是原則上你在使用gbt的專案
[00:03:06–00:03:09] 或者是所謂的呃gmail的gen
[00:03:09–00:03:10] 然後甚至gmail的nobus
[00:03:10–00:03:12] 好這應該是已經變成你一個
[00:03:12–00:03:16] 呃還蠻稀鬆平常會使用的工具
[00:03:16–00:03:19] 應該說功能然後我通常要把它定位成功能
[00:03:19–00:03:22] 然後就是這個大大型原模型裡面的
[00:03:22–00:03:23] 一個其中一個功能
[00:03:23–00:03:25] 那現在的功能大家用的
[00:03:25–00:03:27] 已經非常習慣知道怎麼去駕駛
[00:03:27–00:03:29] 你的克制化指令
[00:03:29–00:03:31] 知道怎麼去駕駛你的資料庫
[00:03:31–00:03:34] 那通常現在碰到一個問題就是
[00:03:34–00:03:36] 呃蠻常看到
[00:03:36–00:03:37] 去上課的時候
[00:03:37–00:03:39] 看到這個學員打開之後
[00:03:39–00:03:42] 旁邊就一連串全部都是專案
[00:03:42–00:03:45] 然後啊我就請他點一個點進去之後
[00:03:45–00:03:47] 他開始跟我說老師我會了50個檔案
[00:03:47–00:03:49] 老師我會了這個300個檔案啊
[00:03:49–00:03:50] no no不可以
[00:03:50–00:03:52] 然後就可以到300個嘛好
[00:03:52–00:03:55] 好然後呢我就跟他說那你真的確定
[00:03:55–00:03:58] 你的ai你的原模型能夠消化的了嗎
[00:03:58–00:04:00] 能夠吃得了這些內容嗎
[00:04:00–00:04:02] 好ok然後呢這時候
[00:04:03–00:04:06] 我就跟他說你試的是可以把你的資料啊
[00:04:07–00:04:08] 把他受聲
[00:04:08–00:04:10] 就是雖然說每個檔案可能
[00:04:10–00:04:11] 這個臥的檔啦
[00:04:11–00:04:12] israel檔啦泡泡你檔
[00:04:12–00:04:17] 他都有因為格式兼具自行自行等等的
[00:04:17–00:04:18] 造成你的
[00:04:18–00:04:21] 其實你要的是你要讓ai賭的是文字的內容
[00:04:21–00:04:25] 但是你多為了給他這些不必要的
[00:04:25–00:04:29] 檔案內容檔案的格式的設定的容量
[00:04:29–00:04:30] 讓他整個資料夾
[00:04:30–00:04:34] 讓他整個資料庫的檔案都很大
[00:04:34–00:04:37] 那他在賭的時候就要耗費非常非常多的時間
[00:04:37–00:04:38] 啊如果不知道我在講什麼
[00:04:38–00:04:40] 我現在做這個給大家看
[00:04:40–00:04:42] 今天應該算是一個非常非常平常的一個事情
[00:04:42–00:04:45] 如果您第一次聽也沒關係
[00:04:45–00:04:46] 就當作新東西
[00:04:46–00:04:48] 那如果你已經就這個哇
[00:04:48–00:04:49] 是這個太簡單了啦
[00:04:49–00:04:51] 這個不用不用這樣講
[00:04:51–00:04:52] 但是沒辦法
[00:04:52–00:04:55] 就是上半年這個算是一個比較聚焦的
[00:04:55–00:04:57] 那為什麼我要特別特別留下來講呢
[00:04:57–00:04:57] 因為
[00:04:58–00:05:00] 通常有agent之後啊
[00:05:00–00:05:02] 我大部分會把我的這個缺霸
[00:05:03–00:05:04] 就是我的所謂的
[00:05:04–00:05:05] 這個網路上的這個對話的極限
[00:05:05–00:05:06] 我會作為我一個
[00:05:07–00:05:11] 呃在我不想要浪費我agent的token的時候
[00:05:11–00:05:13] 就來讓他做一些事情
[00:05:13–00:05:15] 好當然他也可以做一些
[00:05:15–00:05:16] 呃
[00:05:17–00:05:19] 工作流的事情很簡單的工作流
[00:05:19–00:05:21] 比如說你可以設定這個內容
[00:05:21–00:05:22] 你先按幫我按斜線
[00:05:22–00:05:23] 然後
[00:05:24–00:05:26] 現在斜線這邊都有一些快捷指令
